
SUCCESS,29227233630,2,20-09-2022 19:49:15,4.78s 1.28s
INT_ERR,1122496675,2,20-09-2022 19:49:19,4.44s 0.94s
SUCCESS,48415133168,2,20-09-2022 19:49:23,4.50s 1.00s
INT_ERR,12516538524,2,20-09-2022 19:49:28,4.56s 1.06s
SUCCESS,10911043911,2,20-09-2022 19:49:33,4.78s 1.28s
INT_ERR,8401523999,2,20-09-2022 19:49:37,4.52s 1.02s
SUCCESS,48808949587,2,20-09-2022 19:49:42,4.28s 0.78s
INT_ERR,4220579176,2,20-09-2022 19:49:46,4.54s 1.04s
SUCCESS,13252240948,2,20-09-2022 19:49:51,4.45s 0.95s
INT_ERR,3187935298,2,20-09-2022 19:49:55,4.26s 0.76s
SUCCESS,38506176066,2,20-09-2022 19:50:00,4.65s 1.15s
INT_ERR,7779723769,2,20-09-2022 19:50:04,4.76s 1.26s
SUCCESS,426248863,2,20-09-2022 19:50:09,4.36s 0.86s
INT_ERR,6318537329,2,20-09-2022 19:50:14,4.97s 1.47s
SUCCESS,51638680469,2,20-09-2022 19:50:19,5.10s 1.60s
INT_ERR,3220215615,2,20-09-2022 19:50:23,4.43s 0.93s
SUCCESS,20407538445,2,20-09-2022 19:50:28,4.61s 1.11s
INT_ERR,14538687762,2,20-09-2022 19:50:33,4.66s 1.16s
SUCCESS,49753834058,2,20-09-2022 19:50:37,4.31s 0.81s
INT_ERR,44231831787,2,20-09-2022 19:50:42,4.81s 1.31s
SUCCESS,39017129397,2,20-09-2022 19:50:46,4.39s 0.89s
INT_ERR,45446395750,2,20-09-2022 19:50:53,6.83s 3.33s
SUCCESS,3955791003,2,20-09-2022 19:50:57,4.11s 0.61s
INT_ERR,6209777288,2,20-09-2022 19:51:02,4.74s 1.24s
SUCCESS,40627997372,2,20-09-2022 19:51:15,13.28s 9.78s
